城市,年份,地区生产总值（当年价格）(亿元),第一产业增加值(亿元),第二产业增加值(亿元),第三产业增加值(亿元),地方一般公共预算支出(亿元),地方一般公共预算收入(亿元),年末户籍人口(万人),城镇非私营单位在岗职工平均工资(元),住户存款余额(亿元),房地产开发投资额(亿元),商品房销售面积(万平方米),商品房平均销售价格(元/平方米),住宅商品房销售面积(万平方米),住宅商品房平均销售价格(元/平方米)
昆明,2018年,5206.9,222.16,2038.02,2946.71,756.8,595.63,571.67,80253.0,4882.51,1839.79,1909.72,10472.2,1430.17,11085.48
昆明,2019年,6476.0,270.29,2078.75,4126.84,820.86,630.03,578.46,94063.0,5355.45,2096.25,1916.23,11197.0,1484.84,12123.0
昆明,2020年,6734.0,312.0,2103.0,4319.0,875.05,650.47,,102304.0,5962.79,2263.71,1878.8,11325.0,1527.1,12212.0
昆明,2021年,7222.5,333.12,2287.71,4601.67,928.16,689.12,,111460.0,6495.44,2149.06,1297.56,10852.0,965.17,12353.0
杭州,2012年,7802.0,255.1,3572.6,3974.3,786.28,859.99,700.52,56418.0,6022.08,1597.36,1089.62,13447.38,920.26,13291.65
杭州,2013年,8343.52,265.42,3661.98,4416.12,855.74,945.2,706.61,64958.0,6339.75,1853.28,1139.13,15022.0,968.78,14679.0
杭州,2014年,9206.16,274.35,3845.58,5086.24,961.18,1027.32,715.76,70823.0,6694.55,2301.98,1122.91,13896.0,952.51,14035.0
杭州,2015年,10050.21,287.95,3909.01,5853.25,1205.48,1233.88,723.55,77816.0,7507.09,2472.6,1482.17,14422.0,1292.35,14748.0
杭州,2016年,11313.72,304.34,4120.46,6888.93,1404.31,1402.38,736.0,87153.0,8313.13,2606.41,2327.86,15753.0,1888.28,16211.0
杭州,2017年,12603.36,311.08,4362.48,7929.8,1540.92,1567.42,753.88,96670.0,8502.96,2734.2,2054.11,20354.0,1520.17,21225.0
杭州,2018年,13509.15,305.51,4571.93,8631.71,1717.08,1825.06,774.1,106709.0,9981.24,3068.9,1675.98,23917.29,1329.4,24360.2
杭州,2019年,15373.0,325.7,4875.07,10172.28,1952.85,1965.97,795.37,120308.0,11677.34,3396.75,1513.62,25922.0,1284.27,26522.0
杭州,2020年,16106.0,326.0,4821.0,10959.0,2069.66,2093.39,,132188.0,14193.63,3575.33,1699.34,27043.0,1471.62,27448.0
杭州,2021年,18109.42,333.49,5488.62,12287.31,2392.04,2386.59,,151121.0,15623.01,3628.33,2236.25,29465.0,1954.3,29781.0
武汉,2012年,8003.8,301.2,3869.6,3833.1,885.55,828.58,821.71,48942.0,4622.96,1574.86,1576.11,7344.05,1390.47,6895.35
武汉,2013年,9051.27,335.4,4396.17,4319.7,1122.88,978.52,822.05,53684.0,5117.43,1905.6,1995.36,7717.0,1750.43,7238.0
武汉,2014年,10069.48,350.06,4785.66,4933.76,1175.1,1101.02,827.31,60624.0,5352.13,2353.63,2273.16,7951.0,1978.96,7399.0
武汉,2015年,10905.6,359.81,4981.54,5564.25,1338.05,1245.63,829.27,65720.0,6059.03,2581.79,2627.19,8556.0,2413.77,8404.0
武汉,2016年,11912.61,390.73,5227.25,6294.62,1524.68,1322.1,833.85,71963.0,6464.88,2517.44,3255.66,10048.0,2931.06,9819.0
武汉,2017年,13410.34,408.2,5861.35,7140.79,1728.28,1402.93,853.65,79684.0,6879.71,2686.34,3532.61,11744.0,3085.78,11453.0
武汉,2018年,14847.29,362.0,6377.75,8107.54,1929.31,1528.7,883.73,88327.0,7728.5,2780.01,3646.94,13108.25,3229.75,12678.48
武汉,2019年,16223.0,378.99,5988.88,9855.34,2237.1,1564.12,906.4,98043.0,8992.96,2966.21,3332.34,14258.0,2981.79,13834.0
武汉,2020年,15616.0,402.0,5558.0,9656.0,2407.81,1230.29,,104009.0,10213.24,2777.15,2646.37,14244.0,2252.39,14672.0
武汉,2021年,17716.76,444.21,6208.34,11064.21,2215.97,1578.65,,121608.0,11498.18,3254.62,2759.39,15067.0,2470.53,15504.0
沈阳,2012年,6602.6,315.2,3383.2,2904.2,766.09,715.04,724.79,49898.0,4318.84,1942.96,2469.65,6321.26,2201.45,5989.45
沈阳,2013年,7158.57,321.61,3698.91,3138.05,881.28,801.0,727.11,52389.0,4765.48,2184.01,2262.33,6348.0,2017.37,6074.0
沈阳,2014年,7098.71,325.29,3541.15,3232.27,914.37,785.5,730.84,56590.0,5147.63,1975.82,1498.4,6217.0,1342.38,5865.0
沈阳,2015年,7272.31,341.43,3474.18,3456.69,808.58,606.24,730.41,61827.0,5769.3,1337.66,1065.06,6861.0,949.88,6416.0
沈阳,2016年,5546.45,266.23,2151.47,3128.75,825.39,620.95,734.4,67444.0,6145.55,709.67,1184.32,7128.0,1099.39,6838.0
沈阳,2017年,5864.97,268.22,2261.37,3335.37,855.02,656.24,736.95,74181.0,6495.25,814.24,1300.24,8062.0,1191.25,7944.0
沈阳,2018年,6292.4,260.11,2376.58,3655.71,965.44,720.64,745.99,82067.0,7288.14,996.72,1354.82,8892.07,1202.67,8680.11
沈阳,2019年,6470.0,284.03,2178.61,4007.62,1047.65,730.29,756.4,87696.0,8337.61,1174.8,1453.53,10192.0,1361.13,10251.0
沈阳,2020年,6572.0,304.0,2160.0,4108.0,1074.05,736.08,,95908.0,10329.86,1235.89,1381.32,11376.0,1285.5,11617.0
沈阳,2021年,7249.0,326.0,2570.0,4353.0,1032.5,773.02,,101554.0,11057.27,1222.61,1092.7,11591.0,985.08,11997.0
济南,2012年,4803.7,252.9,1938.1,2612.6,465.67,380.82,609.21,48829.0,2888.74,664.01,659.56,6832.44,559.92,6650.56
济南,2013年,5230.19,284.71,2053.24,2892.25,519.32,482.07,613.25,55840.0,3267.78,721.77,822.63,7152.0,705.31,7013.0
济南,2014年,5770.6,290.29,2261.66,3218.65,571.41,543.13,621.61,62323.0,3541.36,917.54,865.35,7369.0,723.92,7158.0
济南,2015年,6100.23,305.39,2307.0,3487.84,658.18,614.32,625.73,68997.0,3951.42,1014.4,1192.12,7686.0,924.43,7527.0
济南,2016年,6536.12,317.0,2368.69,3849.77,741.26,641.22,632.83,77012.0,4279.95,1163.94,1425.29,8247.0,1232.72,8405.0
济南,2017年,7201.96,317.4,2569.22,4315.34,834.06,677.21,643.62,84645.0,4465.73,1232.63,1216.27,9644.0,974.72,9712.0
济南,2018年,7856.56,272.42,2829.31,4754.83,1018.25,752.82,655.9,91651.0,5008.08,1370.43,1236.3,11930.0,965.29,12161.45
济南,2019年,9443.0,343.06,3265.22,5835.09,1197.32,874.19,796.74,100593.0,6438.09,1489.38,1151.0,11438.0,934.0,11947.0
济南,2020年,10141.0,362.0,3531.0,6248.0,1288.8,906.08,,108391.0,7584.12,1707.63,1335.75,11768.0,1145.24,12282.0
济南,2021年,11432.22,408.77,3964.06,7059.39,1293.08,1007.61,,119245.0,8558.43,1928.0,1548.2,12640.0,1300.2,13241.0
海口,2012年,818.8,55.9,201.7,561.2,113.85,73.17,161.59,40486.0,952.15,175.66,266.95,6821.26,251.49,6512.03
海口,2013年,904.64,58.1,217.03,629.51,132.0,86.73,163.23,45058.0,1062.1,256.4,338.19,7423.0,319.04,7342.0
海口,2014年,1091.7,57.07,217.49,817.15,150.92,100.12,165.31,50653.0,1119.48,300.47,337.66,7903.0,297.58,7473.0
海口,2015年,1161.96,57.09,223.67,881.21,170.93,111.5,164.8,57455.0,1262.06,456.39,373.4,7948.0,330.28,7636.0
海口,2016年,1257.67,63.89,233.55,960.23,200.3,115.51,167.03,62030.0,1445.49,551.09,432.71,9043.0,394.33,8868.0
海口,2017年,1390.58,62.51,252.22,1075.85,198.32,125.36,171.05,68037.0,3790.1,603.25,549.59,11988.0,487.37,11694.0
海口,2018年,1510.51,63.96,276.0,1170.56,238.25,169.88,177.61,77632.0,1706.5,609.42,393.32,13233.06,331.44,12644.47
海口,2019年,1672.0,71.18,276.0,1324.75,265.86,185.34,182.89,85121.0,1838.69,480.73,440.56,15385.0,373.49,15562.0
海口,2020年,1792.0,80.0,270.0,1442.0,307.08,186.05,,92462.0,2034.63,443.67,463.74,15837.0,371.52,16494.0
海口,2021年,2057.06,85.43,346.75,1624.88,274.26,208.32,,99560.0,2222.01,452.45,484.6,15825.0,349.09,16400.0
深圳,2012年,12950.1,6.3,5737.6,7206.1,1565.71,1482.08,287.62,59010.0,8389.06,736.84,525.83,19589.82,488.44,18995.92
深圳,2013年,14500.23,5.25,6296.85,8198.14,1690.83,1731.26,310.47,77721.0,9289.37,876.9,588.58,24402.0,527.16,23427.0
深圳,2014年,16001.82,5.58,6812.02,9184.22,2166.14,2082.44,332.21,73492.0,9974.01,1069.49,532.57,24723.0,474.81,24040.0
深圳,2015年,17502.86,6.65,7207.94,10288.28,3521.67,2726.85,354.99,81034.0,9680.24,1331.03,831.46,33942.0,747.83,33661.0
深圳,2016年,19492.6,7.8,7779.5,11705.31,4211.04,3136.49,384.52,89757.0,10391.14,1756.52,736.19,45146.0,660.08,45498.0
深圳,2017年,22490.06,19.57,9320.2,13150.28,4593.8,3332.13,434.72,100173.0,10837.59,2130.86,671.03,47936.0,520.97,48622.0
深圳,2018年,24221.98,22.09,9961.95,14237.94,4282.54,3538.41,454.7,111709.0,13478.94,2640.71,722.01,54132.44,572.99,55441.01
深圳,2019年,26927.0,25.2,10495.84,16406.06,4552.73,3773.38,550.71,127757.0,16010.77,3041.65,806.56,55797.0,638.42,55769.0
深圳,2020年,27670.0,26.0,10454.0,17190.0,4177.72,3857.39,,139436.0,18674.43,3537.84,908.8,56829.0,752.27,56844.0
深圳,2021年,30664.85,26.59,11338.59,19299.67,4570.22,4257.7,,155563.0,20532.31,2979.08,799.59,58593.0,623.3,61601.0
石家庄,2012年,4500.2,452.2,2240.7,1807.4,464.09,272.28,1005.33,38426.0,3735.5,833.21,768.73,4930.94,697.08,4713.54
石家庄,2013年,4863.66,488.71,2359.5,2015.45,522.94,315.12,1003.15,43712.0,4157.6,928.15,951.21,5503.0,782.73,4943.0
石家庄,2014年,5170.27,487.51,2417.51,2265.25,566.49,343.47,1024.93,48272.0,4387.67,1025.33,888.26,5737.0,725.68,5562.0
石家庄,2015年,5440.6,494.44,2452.4,2493.77,682.39,375.05,1028.84,54441.0,4868.93,965.13,757.82,8601.0,539.68,7798.0
石家庄,2016年,5927.73,480.74,2694.15,2752.84,746.12,410.72,1038.0,61189.0,5348.2,1015.77,798.42,8281.0,652.52,7354.0
石家庄,2017年,6460.88,480.53,2913.91,3066.44,806.73,460.89,973.29,67880.0,5641.62,1212.27,1027.34,10170.0,816.94,9738.0
石家庄,2018年,6082.62,420.45,2285.51,3376.66,991.61,519.68,981.6,75114.0,6473.25,1010.71,844.69,10452.42,723.9,10398.93
石家庄,2019年,5810.0,449.5,1831.73,3528.72,1051.39,569.13,1052.39,79581.0,7630.02,887.64,782.28,9309.0,673.94,9234.0
石家庄,2020年,5935.0,499.0,1745.0,3691.0,1142.23,632.19,,84870.0,8774.58,926.49,656.26,9869.0,618.0,9893.0
石家庄,2021年,6490.3,504.78,2107.13,3878.39,1152.74,681.36,,89621.0,9858.04,951.32,720.29,10269.0,677.52,10517.0
福州,2012年,4218.3,367.6,1917.0,1933.7,410.73,382.02,655.27,48088.0,2939.46,972.27,841.5,11188.3,733.96,10644.52
福州,2013年,4678.5,402.26,2133.6,2142.63,533.84,453.97,655.49,53420.0,3296.65,1264.79,1256.49,11236.0,1105.48,10155.0
福州,2014年,5169.16,415.91,2352.15,2401.1,574.81,510.87,674.94,58838.0,3483.72,1455.07,965.6,10719.0,816.65,10105.0
福州,2015年,5618.08,434.69,2449.55,2733.83,725.93,560.46,678.36,62478.0,3685.23,1381.12,914.7,11653.0,748.99,11333.0
福州,2016年,6197.64,492.09,2590.61,3114.93,829.93,598.91,687.06,67630.0,4087.54,1679.44,1221.33,11089.0,1021.23,11058.0
福州,2017年,7103.4,461.2,2913.4,3728.8,938.86,634.16,693.35,75133.0,4385.3,1694.18,1685.46,11057.0,1276.8,10547.0
福州,2018年,7856.81,494.66,3204.9,4157.26,924.76,680.38,702.66,83175.0,5053.29,1439.68,1711.05,13530.3,1255.68,14381.26
福州,2019年,9392.0,526.47,3830.99,5034.84,949.76,668.08,710.09,88952.0,6027.11,1812.77,1708.19,13656.0,1330.07,14186.0
福州,2020年,10020.0,561.0,3841.0,5618.0,951.4,675.61,,96478.0,6951.54,2070.23,1888.1,13520.0,1519.17,14376.0
福州,2021年,11324.48,637.03,4289.8,6397.66,925.26,749.85,,108133.0,7493.04,2248.81,2138.49,14149.0,1686.26,15286.0
西宁,2012年,851.1,31.2,439.5,380.4,185.32,54.77,198.46,44086.0,823.15,160.14,177.04,4718.34,165.85,4304.29
西宁,2013年,978.53,36.1,514.5,427.93,207.57,67.11,226.76,47343.0,972.5,195.58,277.8,4628.0,272.04,4380.0
西宁,2014年,1065.78,37.37,530.68,497.73,248.14,83.88,202.64,54914.0,1093.09,246.86,305.71,5753.0,264.38,4807.0
西宁,2015年,1131.62,37.46,543.47,550.69,280.03,94.79,201.17,58099.0,1160.33,280.43,311.86,5758.0,260.65,4602.0
西宁,2016年,1248.17,39.19,595.63,613.35,287.81,75.22,203.28,61069.0,1267.18,316.5,352.6,5910.0,292.11,5007.0
西宁,2017年,1284.91,41.8,556.44,686.67,288.37,79.16,205.58,73540.0,1339.19,351.33,388.22,6642.0,305.11,5890.0
西宁,2018年,1286.41,46.08,467.99,772.34,297.48,92.94,207.38,84071.0,1436.77,292.25,332.22,7313.46,274.02,6733.36
西宁,2019年,1328.0,51.34,398.78,877.7,328.04,101.79,209.37,91494.0,1548.93,290.99,321.24,8989.0,259.58,8731.0
西宁,2020年,1373.0,57.0,419.0,897.0,329.51,133.51,,98369.0,1723.88,270.4,298.97,9628.0,259.05,9847.0
西宁,2021年,1548.79,58.93,518.22,971.64,343.8,153.87,,113154.0,1895.2,265.78,226.64,9173.0,176.85,10025.0
西安,2012年,4366.1,195.6,1881.8,2288.8,597.49,396.96,795.98,46688.0,4787.03,1269.93,1532.9,6634.32,1379.13,6224.03
西安,2013年,4884.13,217.76,2117.66,2548.71,729.81,501.98,806.93,54388.0,5357.05,1572.65,1632.85,6716.0,1496.34,6435.0
西安,2014年,5492.64,214.55,2194.78,3083.31,819.54,583.79,815.29,54098.0,5687.49,1742.28,1696.39,6465.0,1514.15,6105.0
西安,2015年,5801.2,220.2,2126.29,3454.71,917.24,650.99,815.66,63193.0,6571.18,1820.85,1762.7,6501.0,1583.53,6221.0
西安,2016年,6257.18,232.14,2197.52,3827.52,942.52,641.07,824.93,69611.0,7035.81,1955.82,2036.18,6602.0,1866.5,6385.0
西安,2017年,7469.85,281.12,2596.08,4592.65,1045.09,654.5,905.68,77774.0,7497.3,2234.84,2459.35,8513.0,2105.94,8166.0
西安,2018年,8349.86,258.82,2925.61,5165.43,1151.87,684.7,986.87,87125.0,8360.33,2213.68,2621.72,10171.01,2141.12,9984.54
西安,2019年,9321.0,279.13,3167.44,5874.62,1247.02,702.56,956.74,96867.0,9553.93,2008.3,2375.41,11480.0,1903.9,11627.0
西安,2020年,10020.0,313.0,3328.0,6379.0,1347.58,724.14,,104363.0,10913.05,2064.63,2081.48,13358.0,1635.78,13743.0
西安,2021年,10688.28,308.82,3585.2,6794.26,1474.62,856.0,,115574.0,11996.54,1975.28,1492.92,14657.0,1238.56,15221.0
贵阳,2012年,1700.3,72.3,717.3,910.7,349.33,241.19,374.53,42662.0,1498.2,901.03,1023.84,4846.14,948.47,4472.69
贵阳,2013年,2085.42,81.52,848.64,1155.26,393.6,277.21,379.09,50654.0,1827.14,978.02,1282.01,5025.0,1145.71,4488.0
贵阳,2014年,2497.27,108.02,976.59,1412.66,448.63,331.6,382.91,59330.0,2010.58,1010.38,935.55,5608.0,789.95,4904.0
贵阳,2015年,2891.16,129.89,1108.52,1652.75,503.52,374.1,391.79,63949.0,2250.6,1001.03,959.55,6029.0,789.79,4967.0
贵阳,2016年,3157.7,137.04,1218.87,1801.78,525.26,366.32,401.35,70535.0,2229.76,927.32,981.87,5957.0,826.21,5392.0
贵阳,2017年,3537.96,147.33,1375.18,2015.45,582.48,377.85,408.31,73939.0,2646.09,1024.09,1068.67,7269.0,868.98,6552.0
贵阳,2018年,3798.45,153.1,1413.67,2231.68,624.22,411.34,418.45,82685.0,2835.74,985.26,1114.56,9360.76,943.29,8842.96
贵阳,2019年,4040.0,161.34,1495.41,2382.85,718.82,417.26,427.83,92650.0,3164.12,1175.37,1099.27,10451.0,869.4,9799.0
贵阳,2020年,4312.0,178.0,1553.0,2581.0,678.16,398.13,,101829.0,3634.58,1291.37,1235.75,9315.0,1105.76,9157.0
贵阳,2021年,4711.03,193.44,1681.34,2836.25,633.41,403.72,,106188.0,4008.76,1120.05,1407.55,9052.0,1185.52,9015.0
郑州,2012年,5549.8,142.4,3132.9,2274.5,700.7,606.65,1072.5,40472.0,3845.46,1095.14,1441.87,6253.11,1226.18,5643.07
郑州,2013年,6201.9,147.0,3470.5,2584.4,816.16,723.61,919.1,45066.0,4475.32,1445.33,1621.89,7162.0,1313.48,6587.0
郑州,2014年,6776.99,147.15,3487.14,3142.7,918.51,833.88,937.8,49756.0,4839.26,1743.51,1591.91,7571.0,1293.28,6579.0
郑州,2015年,7311.52,150.92,3604.15,3556.45,1106.02,942.9,810.49,52987.0,5695.49,2000.2,1898.67,7537.0,1695.21,7223.0
郑州,2016年,8113.97,156.6,3796.52,4160.84,1321.53,1011.18,827.06,61149.0,6297.63,2778.95,2859.18,8163.0,2571.44,8093.0
郑州,2017年,9130.2,158.6,4247.5,4724.1,1514.95,1056.67,842.25,70486.0,6538.23,3358.84,3097.81,8631.0,2735.37,8323.0
郑州,2018年,10143.32,147.05,4450.73,5545.53,1763.34,1152.06,863.9,80963.0,7157.32,3258.41,3712.11,8442.62,3330.57,8155.94
郑州,2019年,11590.0,140.88,4617.07,6831.77,1910.67,1222.53,881.6,88030.0,7957.04,3349.86,3593.27,9472.0,3241.97,9332.0
郑州,2020年,12004.0,157.0,4760.0,7087.0,1720.18,1259.21,,89464.0,8961.78,3428.78,3426.06,9834.0,3025.68,9845.0
郑州,2021年,12691.02,181.69,5039.29,7470.04,1624.44,1223.63,,96365.0,9829.94,3088.88,2699.38,9664.0,2480.01,9665.0
重庆,2012年,11595.4,879.7,5308.1,5407.6,3046.36,1703.49,3343.44,45392.0,8361.6,2508.35,4522.4,5079.93,4105.11,4804.8
重庆,2013年,13027.6,941.2,5988.6,6097.7,3062.28,1693.24,3358.42,51015.0,9622.31,3012.78,4817.56,5569.0,4359.19,5239.0
重庆,2014年,14623.8,990.8,6774.6,6858.5,3304.39,1922.02,3375.2,56852.0,10774.1,3630.23,5100.39,5519.0,4423.68,5094.0
重庆,2015年,16040.5,1067.7,7208.0,7764.8,3792.0,2154.83,3371.84,62091.0,12207.28,3751.28,5381.37,5486.0,4477.71,5012.0
重庆,2016年,18023.0,1237.0,7765.4,9020.7,4001.81,2227.91,3392.11,67386.0,13399.44,3725.95,6257.15,5485.0,5105.46,5162.0
重庆,2017年,20066.3,1276.1,8455.0,10335.2,4336.28,2252.38,3389.82,73272.0,14367.38,3980.08,6711.0,6792.0,5452.65,6605.0
重庆,2018年,21588.8,1378.7,8842.2,11367.9,4540.95,2265.54,3403.64,81764.0,15907.23,4248.76,6536.25,8066.86,5424.76,8189.98
重庆,2019年,23605.77,1551.59,9391.96,12662.22,4847.68,2134.93,3416.29,89714.0,17860.4,4439.3,6104.68,8402.0,5149.08,8657.0
重庆,2020年,25041.43,1803.54,9969.55,13268.34,4893.95,2094.85,,98380.0,20209.8,4351.96,6143.47,8255.0,4814.49,8917.0
重庆,2021年,28077.28,1921.91,11217.26,14938.11,4835.06,2285.45,,106966.0,22239.89,4354.96,6197.71,8699.0,4945.42,9678.0
银川,2012年,1150.9,51.0,619.1,480.9,186.74,113.13,167.22,54274.0,901.47,275.7,450.26,4574.54,388.33,4187.26
银川,2013年,1289.02,55.42,688.6,545.0,220.53,134.6,172.63,56565.0,1015.22,330.81,612.11,4856.0,543.09,4524.0
银川,2014年,1388.62,52.8,750.19,585.64,263.9,153.6,196.0,59080.0,1089.89,388.9,724.59,4451.0,614.01,4111.0
银川,2015年,1493.86,58.62,780.84,654.4,309.27,171.28,179.23,65643.0,1304.97,409.17,529.81,4947.0,454.46,4498.0
银川,2016年,1617.71,58.56,825.68,733.47,331.07,173.2,184.04,70840.0,1391.35,474.94,564.86,4790.0,492.84,4448.0
银川,2017年,1803.26,61.37,904.29,837.59,341.83,177.46,188.59,77206.0,1496.94,402.82,595.22,5177.0,519.99,4892.0
银川,2018年,1901.48,67.31,867.33,966.84,363.28,173.25,193.42,87291.0,1664.8,295.25,612.83,5874.82,529.2,5589.49
银川,2019年,1897.0,64.71,828.82,1003.26,346.47,154.71,199.57,94559.0,1867.01,275.35,679.38,6440.0,606.16,6440.0
银川,2020年,1964.0,75.0,833.0,1056.0,332.36,157.26,,105653.0,2137.48,311.43,751.75,7238.0,674.2,7353.0
银川,2021年,2262.95,83.83,1028.32,1150.81,291.69,171.19,,114235.0,2323.5,325.79,641.57,7648.0,528.2,8143.0
长春,2012年,4456.6,317.1,2291.9,1847.7,555.51,340.8,756.9,46673.0,2767.38,649.65,908.0,5540.17,775.19,5273.35
长春,2013年,5003.18,332.05,2658.65,2012.48,632.97,381.82,752.67,52220.0,3107.16,611.78,847.06,6026.0,762.5,5729.0
长春,2014年,5342.43,332.03,2813.62,2196.78,675.84,397.32,754.55,56977.0,3380.11,532.57,758.84,6261.0,663.35,5847.0
长春,2015年,5530.03,343.24,2770.98,2415.81,765.72,388.22,753.83,62519.0,3792.78,501.32,799.12,6634.0,701.78,6374.0
长春,2016年,5986.42,323.27,2957.29,2705.86,770.57,415.49,753.43,68434.0,4218.09,596.65,1017.75,6557.0,834.49,6018.0
长春,2017年,6530.03,315.07,3175.22,3039.75,875.73,450.08,748.92,73469.0,4566.99,573.78,1147.19,7017.0,951.83,6811.0
长春,2018年,7175.71,301.9,3511.68,3362.13,894.34,478.01,751.29,80425.0,4993.24,778.63,1288.44,8245.16,1116.08,8091.85
长春,2019年,5904.0,348.07,2495.46,3060.61,896.02,420.02,753.8,88082.0,5889.09,876.79,1342.37,8777.0,1156.13,8731.0
长春,2020年,6638.0,534.0,2758.0,3346.0,1084.14,440.43,,92905.0,6896.3,996.07,1054.41,9081.0,936.39,9128.0
长春,2021年,7103.1,523.7,2960.5,3618.9,966.49,617.09,,100463.0,8257.53,1052.34,1027.25,8426.0,930.21,8506.0
长沙,2012年,6399.9,272.3,3592.5,2535.1,624.62,490.65,660.62,50905.0,2981.31,1034.35,1526.93,6100.87,1385.33,5602.51
长沙,2013年,7153.13,294.55,3946.97,2911.61,701.82,536.63,662.81,56215.0,3482.97,1157.63,1861.56,6292.0,1659.53,5759.0
长沙,2014年,7824.81,311.9,4241.25,3271.66,802.38,632.8,671.41,61847.0,3866.79,1313.62,1518.47,6116.0,1331.36,5458.0
长沙,2015年,8510.13,341.78,4333.58,3834.77,925.0,718.95,680.36,67266.0,4348.55,1006.84,1907.91,5856.0,1687.06,5544.0
长沙,2016年,9356.91,370.53,4512.84,4472.6,1041.43,743.7,696.0,77782.0,4868.64,1260.55,2613.26,6410.0,2308.24,6160.0
长沙,2017年,10535.51,379.45,4998.25,5157.8,1182.6,800.35,708.79,85187.0,5200.21,1493.44,2260.79,7691.0,1823.81,7287.0
长沙,2018年,11003.41,318.73,4660.19,6024.49,1300.79,879.71,728.86,93293.0,5692.08,1508.72,2386.74,8206.49,1973.34,7796.2
长沙,2019年,11574.0,359.69,4439.32,6775.21,1425.98,950.23,738.24,98459.0,6530.52,1672.96,2335.15,8657.0,2005.91,8227.0
长沙,2020年,12143.0,424.0,4739.0,6980.0,1501.23,1100.09,,105603.0,7501.64,1869.88,2377.43,9238.0,2046.55,9112.0
长沙,2021年,13270.7,425.56,5251.29,7593.85,1541.59,1188.31,,114805.0,8245.94,2236.88,2606.17,10055.0,2304.86,10119.0
青岛,2012年,7302.1,324.4,3402.2,3575.5,765.98,670.18,769.56,49052.0,3757.6,932.1,950.92,8056.09,842.5,7583.36
青岛,2013年,8006.6,352.41,3641.39,4012.8,1014.23,788.93,773.67,55334.0,4140.59,1048.52,1160.16,8435.0,1050.61,7987.0
青岛,2014年,8692.1,349.62,3890.41,4452.07,1074.71,895.25,780.64,62097.0,4435.9,1117.73,1163.53,8344.0,1022.28,7855.0
青岛,2015年,9300.07,363.98,4026.46,4909.63,1222.87,1006.32,783.0,69465.0,5023.59,1122.35,1418.58,8902.0,1238.99,8437.0
青岛,2016年,10011.29,371.42,4160.69,5479.18,1352.85,1100.03,791.35,76616.0,5326.33,1369.14,1939.22,9230.0,1752.08,8997.0
青岛,2017年,11037.28,380.97,4546.21,6110.1,1403.03,1157.24,803.28,83539.0,5394.18,1330.54,1900.74,10518.0,1633.84,10052.0
青岛,2018年,12001.52,386.91,4850.59,6764.02,1559.78,1231.91,817.79,90840.0,5913.71,1485.21,1808.02,12624.12,1578.31,12373.44
青岛,2019年,11741.0,409.98,4182.76,7148.57,1575.97,1241.74,831.07,103125.0,6755.24,1803.81,1651.83,13603.0,1475.58,13674.0
青岛,2020年,12401.0,425.0,4362.0,7614.0,1584.65,1253.85,,116115.0,8030.95,2045.12,1653.59,13406.0,1430.37,14058.0
青岛,2021年,14136.0,470.0,5070.0,8596.0,1706.76,1368.3,,127228.0,9028.24,1982.34,1644.52,13787.0,1419.63,14365.0
